"LocationID","area","Zone","service_zone"
1,"Airport","Newark Airport","Airport"
2,"Other","Jamaica Bay","Boro Zone"
3,"Other","Allerton/Pelham Gardens","Boro Zone"
4,"Manhattan","Alphabet City","Yellow Zone"
5,"Other","Arden Heights","Boro Zone"
6,"Other","Arrochar/Fort Wadsworth","Boro Zone"
7,"Other","Astoria","Boro Zone"
8,"Other","Astoria Park","Boro Zone"
9,"Other","Auburndale","Boro Zone"
10,"Other","Baisley Park","Boro Zone"
11,"Other","Bath Beach","Boro Zone"
12,"Manhattan","Battery Park","Yellow Zone"
13,"Manhattan","Battery Park City","Yellow Zone"
14,"Other","Bay Ridge","Boro Zone"
15,"Other","Bay Terrace/Fort Totten","Boro Zone"
16,"Other","Bayside","Boro Zone"
17,"Other","Bedford","Boro Zone"
18,"Other","Bedford Park","Boro Zone"
19,"Other","Bellerose","Boro Zone"
20,"Other","Belmont","Boro Zone"
21,"Other","Bensonhurst East","Boro Zone"
22,"Other","Bensonhurst West","Boro Zone"
23,"Other","Bloomfield/Emerson Hill","Boro Zone"
24,"Manhattan","Bloomingdale","Yellow Zone"
25,"Other","Boerum Hill","Boro Zone"
26,"Other","Borough Park","Boro Zone"
27,"Other","Breezy Point/Fort Tilden/Riis Beach","Boro Zone"
28,"Other","Briarwood/Jamaica Hills","Boro Zone"
29,"Other","Brighton Beach","Boro Zone"
30,"Other","Broad Channel","Boro Zone"
31,"Other","Other Park","Boro Zone"
32,"Other","Otherdale","Boro Zone"
33,"Other","Other Heights","Boro Zone"
34,"Other","Other Navy Yard","Boro Zone"
35,"Other","Brownsville","Boro Zone"
36,"Other","Bushwick North","Boro Zone"
37,"Other","Bushwick South","Boro Zone"
38,"Other","Cambria Heights","Boro Zone"
39,"Other","Canarsie","Boro Zone"
40,"Other","Carroll Gardens","Boro Zone"
41,"Manhattan","Central Harlem","Boro Zone"
42,"Manhattan","Central Harlem North","Boro Zone"
43,"Manhattan","Central Park","Yellow Zone"
44,"Other","Charleston/Tottenville","Boro Zone"
45,"Manhattan","Chinatown","Yellow Zone"
46,"Other","City Island","Boro Zone"
47,"Other","Claremont/Bathgate","Boro Zone"
48,"Manhattan","Clinton East","Yellow Zone"
49,"Other","Clinton Hill","Boro Zone"
50,"Manhattan","Clinton West","Yellow Zone"
51,"Other","Co-Op City","Boro Zone"
52,"Other","Cobble Hill","Boro Zone"
53,"Other","College Point","Boro Zone"
54,"Other","Columbia Street","Boro Zone"
55,"Other","Coney Island","Boro Zone"
